timestamp,participantID,condition,pointerPositionsPerTarget,timesPerTargetInS,startTimeAsUnix,endTimeAsUnix,timeTillFinishedInS,missedClickCount,bubblePointingTechnique
1620854497.3475964,1,0,"[(604, 426), (72, 228), (454, 288), (582, 472), (600, 250), (656, 534), (204, 54), (718, 200), (98, 124), (342, 384), (72, 470), (650, 206), (544, 480), (716, 564)]","[0.921144962310791, 0.621910810470581, 0.7260174751281738, 0.9319958686828613, 1.0306475162506104, 0.820667028427124, 0.693397045135498, 0.803532600402832, 0.5483055114746094, 0.5086250305175781, 0.6517765522003174, 0.5935559272766113, 0.5820388793945312, 0.8075249195098877]",1620854487.1063926,1620854497.3475327,10.241140127182009,1,False
1620854508.5545044,1,1,"[(584, 434), (76, 234), (460, 290), (608, 508), (596, 282), (652, 526), (180, 52), (714, 186), (116, 128), (316, 366), (82, 466), (660, 180), (526, 496), (728, 548)]","[0.9047195911407471, 0.8864741325378418, 0.682999849319458, 0.6737489700317383, 0.7622947692871094, 0.8783178329467773, 1.1347782611846924, 0.8658428192138672, 0.8448183536529541, 0.7023036479949951, 0.7406961917877197, 0.6430075168609619, 0.825326681137085, 0.6615738868713379]",1620854497.3598325,1620854508.5544353,11.194602727890015,0,False
1620854558.4644682,1,0,"[(598, 422), (104, 252), (442, 296), (608, 496), (584, 294), (674, 486), (254, 88), (726, 144), (164, 134), (332, 360), (110, 424), (618, 172), (482, 452), (728, 486)]","[1.0539946556091309, 0.6872110366821289, 0.5496764183044434, 0.7804348468780518, 0.5192766189575195, 0.8155734539031982, 0.9786860942840576, 0.7843194007873535, 1.2357730865478516, 0.5687620639801025, 0.6341450214385986, 0.752335786819458, 0.937462568283081, 0.7181761264801025]",1620854547.448574,1620854558.4644012,11.015827178955078,1,True
1620854567.9102404,1,1,"[(582, 422), (72, 240), (422, 272), (582, 488), (612, 314), (678, 484), (222, 86), (746, 214), (148, 158), (330, 378), (88, 466), (590, 156), (518, 446), (722, 544)]","[0.9423270225524902, 0.6724741458892822, 0.6178774833679199, 0.8666720390319824, 0.5567634105682373, 0.7731878757476807, 0.6093366146087646, 0.6811056137084961, 0.5577511787414551, 0.532902717590332, 0.5258886814117432, 0.6155188083648682, 0.8457169532775879, 0.648247241973877]",1620854558.4767928,1620854567.910171,9.433378219604492,0,True
1620854856.631177,2,0,"[(556, 408), (90, 254), (446, 282), (602, 488), (590, 284), (670, 516), (206, 82), (730, 164), (176, 126), (332, 376), (124, 450), (608, 148), (518, 454), (738, 512)]","[0.8467056751251221, 0.6772129535675049, 0.5329949855804443, 0.7386045455932617, 0.5136396884918213, 0.7615952491760254, 0.660118818283081, 0.7678484916687012, 0.7085433006286621, 0.5448088645935059, 0.5508332252502441, 0.6996920108795166, 0.7823381423950195, 0.6033294200897217]",1620854847.242849,1620854856.631115,9.388265371322634,0,True
1620854866.1869516,2,1,"[(560, 382), (190, 262), (464, 256), (604, 478), (582, 306), (682, 476), (294, 46), (726, 172), (180, 172), (322, 336), (114, 408), (592, 140), (508, 452), (716, 508)]","[0.9141600131988525, 0.6522562503814697, 0.5396857261657715, 1.0822744369506836, 0.504913330078125, 0.7225825786590576, 0.5545773506164551, 0.8075451850891113, 0.6397585868835449, 0.4447591304779053, 0.4571681022644043, 0.5987234115600586, 0.7461199760437012, 0.8912498950958252]",1620854856.6411045,1620854866.1868887,9.545784235000609,0,True
1620854903.2632456,2,0,"[(582, 432), (68, 242), (470, 300), (598, 512), (604, 280), (656, 530), (182, 46), (732, 182), (108, 116), (338, 364), (84, 458), (658, 190), (532, 498), (734, 556)]","[0.9648449420928955, 0.8167593479156494, 0.6250808238983154, 0.8268234729766846, 0.5944664478302002, 0.6681232452392578, 0.8074960708618164, 0.8223569393157959, 0.6906383037567139, 0.849494457244873, 0.760627269744873, 0.8304007053375244, 1.40199875831604, 1.005849838256836]",1620854891.5982172,1620854903.2631779,11.664960622787476,2,False
1620854913.4934616,2,1,"[(580, 430), (74, 238), (470, 276), (604, 498), (596, 278), (646, 520), (188, 50), (724, 188), (148, 134), (324, 384), (90, 450), (632, 192), (538, 504), (734, 532)]","[0.5764017105102539, 0.6352441310882568, 0.5966076850891113, 0.6732230186462402, 0.9706404209136963, 0.6365747451782227, 0.6999421119689941, 0.7171618938446045, 0.8595530986785889, 1.145906686782837, 0.6341433525085449, 0.7778072357177734, 0.700709342956543, 0.606299638748169]",1620854903.2797244,1620854913.493393,10.213668584823607,2,False
1620855034.3364778,3,0,"[(579, 429), (117, 262), (417, 275), (595, 507), (572, 334), (664, 528), (202, 115), (772, 256), (148, 161), (301, 402), (207, 489), (575, 160), (485, 478), (745, 506)]","[1.1778388023376465, 0.708127498626709, 0.6706593036651611, 0.8272268772125244, 0.7390685081481934, 0.7072627544403076, 0.6321399211883545, 0.6995372772216797, 0.6768584251403809, 0.4925239086151123, 0.4959754943847656, 0.772998571395874, 0.6601572036743164, 0.7148165702819824]",1620855024.361273,1620855034.3364642,9.975191116333008,0,True
1620855044.2239995,3,1,"[(528, 426), (140, 240), (427, 295), (595, 551), (583, 309), (654, 508), (232, 96), (727, 235), (184, 177), (299, 430), (136, 466), (653, 207), (471, 476), (731, 513)]","[1.2620413303375244, 0.6607832908630371, 0.560553789138794, 0.8148117065429688, 0.5663137435913086, 0.619091272354126, 0.7302780151367188, 0.7655749320983887, 0.6174407005310059, 0.5368838310241699, 0.6064815521240234, 0.6737654209136963, 0.6248049736022949, 0.8486881256103516]",1620855034.3441675,1620855044.2239769,9.879809379577637,0,True
1620855074.2130408,3,0,"[(596, 441), (93, 239), (442, 283), (601, 508), (577, 285), (646, 534), (184, 60), (719, 185), (96, 143), (347, 382), (58, 460), (662, 177), (531, 523), (733, 554)]","[0.9213669300079346, 0.5535998344421387, 0.42673540115356445, 0.5398311614990234, 0.5342814922332764, 0.5439414978027344, 0.605891227722168, 0.5166683197021484, 0.5096960067749023, 0.45859193801879883, 0.6362729072570801, 0.5678415298461914, 0.7839937210083008, 0.6318991184234619]",1620855065.982414,1620855074.213025,8.230611085891724,1,False
1620855083.140049,3,1,"[(586, 435), (75, 235), (469, 298), (613, 499), (583, 285), (648, 513), (195, 57), (717, 184), (123, 145), (335, 366), (67, 473), (647, 196), (532, 492), (737, 553)]","[0.6316089630126953, 0.7656619548797607, 0.5940520763397217, 0.602698564529419, 0.6011950969696045, 0.49204230308532715, 0.7089862823486328, 0.6317176818847656, 0.6566972732543945, 0.5798051357269287, 0.6694581508636475, 0.7545936107635498, 0.6611020565032959, 0.5773587226867676]",1620855074.219378,1620855083.140003,8.920624971389769,0,False
1620855269.8357365,4,0,"[(582, 443), (84, 231), (456, 292), (600, 506), (595, 279), (655, 523), (193, 42), (718, 180), (116, 135), (340, 363), (87, 464), (668, 181), (549, 489), (741, 550)]","[0.7953212261199951, 0.7414712905883789, 0.5836019515991211, 0.5214781761169434, 0.4454174041748047, 0.7669527530670166, 0.7360830307006836, 0.596656084060669, 0.6321108341217041, 0.529407262802124, 0.6946067810058594, 0.6875154972076416, 0.45981311798095703, 0.5506136417388916]",1620855261.094674,1620855269.8357232,8.74104905128479,1,False
1620855277.702602,4,1,"[(600, 430), (81, 221), (479, 289), (611, 501), (587, 304), (657, 511), (192, 61), (725, 168), (133, 142), (330, 378), (72, 473), (657, 184), (543, 496), (750, 568)]","[0.7494602203369141, 0.559596061706543, 0.4433441162109375, 0.529383659362793, 0.4303877353668213, 0.41612744331359863, 0.5684959888458252, 0.49817371368408203, 0.6037783622741699, 0.6054227352142334, 0.9206714630126953, 0.6148557662963867, 0.47948551177978516, 0.4476504325866699]",1620855269.8423724,1620855277.7025561,7.860183715820312,1,False
1620855302.7681735,4,0,"[(592, 437), (123, 250), (395, 259), (594, 541), (572, 298), (662, 510), (207, 86), (742, 214), (142, 161), (307, 424), (101, 470), (663, 206), (526, 488), (731, 558)]","[0.8567006587982178, 0.5910675525665283, 0.4411015510559082, 0.7857158184051514, 0.5553934574127197, 0.5040342807769775, 0.5764493942260742, 0.5990853309631348, 0.5265061855316162, 0.38681983947753906, 0.5571389198303223, 0.5808877944946289, 0.5170702934265137, 0.502312183380127]",1620855294.7878692,1620855302.7681525,7.980283260345459,1,True
1620855311.4606864,4,1,"[(617, 393), (123, 257), (500, 330), (590, 509), (590, 308), (657, 481), (228, 97), (748, 232), (148, 164), (346, 400), (140, 462), (656, 212), (529, 469), (735, 540)]","[0.6945285797119141, 0.5466573238372803, 0.4354865550994873, 1.6299920082092285, 0.4934995174407959, 0.4855194091796875, 0.6313619613647461, 0.6042404174804688, 0.558110237121582, 0.4120924472808838, 0.48055148124694824, 0.6151278018951416, 0.5983998775482178, 0.5069332122802734]",1620855302.7761521,1620855311.4606533,8.68450117111206,1,True
